id,companyName,email,phone,city,state,industry,website
25,OrbitX Technologies,sales@orbitx.com,9876543234,Rajkot,Gujarat,IT Services,httpsorbitx.com
26,HexaFusion Labs,team@hexafusion.com,9876543235,Thane,Maharashtra,AI Research,httpshexafusion.com
27,SilverLine Exports,admin@silverline.com,9876543236,Ludhiana,Punjab,Exports,httpssilverline.com
28,ApexNova Pvt Ltd,contact@apexnova.com,9876543237,Amritsar,Punjab,Consulting,httpsapexnova.com
29,CodeSphere Systems,info@codesphere.com,9876543238,Mysore,Karnataka,Software,httpscodesphere.com
30,Vertex Dynamics,support@vertex.com,9876543239,Ranchi,Jharkhand,Engineering,httpsvertex.com
31,RapidFlow Logistics,team@rapidflow.com,9876543240,Guwahati,Assam,Logistics,httpsrapidflow.com
32,ZenithWave Media,hello@zenithwave.com,9876543241,Dehradun,Uttarakhand,Media,httpszenithwave.com
33,ClearMind Solutions,contact@clearmind.com,9876543242,Shimla,Himachal Pradesh,Consulting,httpsclearmind.com
34,VisionNext AI,info@visionnext.com,9876543243,Jodhpur,Rajasthan,Artificial Intelligence,httpsvisionnext.com
35,InfinityWorks Tech,sales@infinityworks.com,9876543244,Udaipur,Rajasthan,Software,httpsinfinityworks.com
36,HyperNova Systems,team@hypernova.com,9876543245,Agra,Uttar Pradesh,Cybersecurity,httpshypernova.com
37,TrueAxis Finance,admin@trueaxis.com,9876543246,Meerut,Uttar Pradesh,Finance,httpstrueaxis.com
38,BlueOrbit Healthcare,contact@blueorbit.com,9876543247,Raipur,Chhattisgarh,Healthcare,httpsblueorbit.com
39,FutureNest Realty,info@futurenest.com,9876543248,Bhubaneswar,Odisha,Real Estate,httpsfuturenest.com
40,LogicCore Analytics,support@logiccore.com,9876543249,Srinagar,Jammu and Kashmir,Analytics,httpslogiccore.com
41,MetaFusion Digital,hello@metafusion.com,9876543250,Goa,Goa,Marketing,httpsmetafusion.com
42,SmartVision Retail,contact@smartvision.com,9876543251,Varanasi,Uttar Pradesh,Retail,httpssmartvision.com
43,AlphaNest Systems,info@alphanest.com,9876543252,Gwalior,Madhya Pradesh,IT Services,httpsalphanest.com
44,ByteBridge Technologies,sales@bytebridge.com,9876543253,Jabalpur,Madhya Pradesh,Software,httpsbytebridge.com
45,NeoCraft Industries,team@neocraft.com,9876543254,Salem,Tamil Nadu,Manufacturing,httpsneocraft.com
46,FutureLink Telecom,admin@futurelink.com,9876543255,Tirupati,Andhra Pradesh,Telecom,httpsfuturelink.com
47,UrbanPulse Media,contact@urbanpulse.com,9876543256,Warangal,Telangana,Media,httpsurbanpulse.com
48,AeroSync Technologies,info@aerosync.com,9876543257,Belgaum,Karnataka,Aerospace,httpsaerosync.com
49,PrimeCore Ventures,support@primecore.com,9876543258,Hubli,Karnataka,Investment,httpsprimecore.com
50,NextOrbit Solutions,hello@nextorbit.com,9876543259,Faridabad,Haryana,Software,httpsnextorbit.com
